advertiser,observed_advertiser_labels,placements,creatives,panel_placements,first_seen,last_seen,categories
House of Vaaree Pvt Ltd,House of Vaaree Pvt Ltd,2,2,0,2026-09-15T12:23:54.784Z,2026-09-16T06:08:51.146Z,Commercial discovery
Innovist,Innovist,2,2,0,2026-09-21T19:32:35.186Z,2026-09-22T02:14:25.600Z,Beauty and personal care
Lancôme,Lancôme,2,2,1,2026-09-21T23:55:46.758Z,2026-09-22T21:12:04.982Z,"Beauty and personal care,Perfume miniatures"
Matcha Outlet,Matcha Outlet,2,2,0,2026-09-15T07:11:01.223Z,2026-09-15T11:33:53.388Z,"Commercial discovery,Food and beverage"
MomentScience,MomentScience,2,2,0,2026-09-13T17:51:18.619Z,2026-09-15T05:51:43.742Z,"Home improvement,Automotive"
pacific data integrators,pacific data integrators,2,1,2,2026-09-22T23:25:28.848Z,2026-09-22T23:53:21.531Z,Corporate travel
Pond's,Pond's,2,2,1,2026-09-22T12:42:29.823Z,2026-09-23T00:48:02.229Z,"Beauty and personal care,Fragrance layering"
Sing Tehus,Sing Tehus,2,2,1,2026-09-22T08:09:52.994Z,2026-09-23T00:56:05.308Z,"Beauty and personal care,Tea subscriptions"
Superworks,Superworks,2,2,2,2026-09-22T23:56:31.304Z,2026-09-22T23:58:29.502Z,Corporate travel
ZENITHZEPHYR WELLNESS PRIVATE LIMITED,ZENITHZEPHYR WELLNESS PRIVATE LIMITED,2,1,2,2026-09-22T23:43:19.006Z,2026-09-23T00:13:12.255Z,Corporate travel
50Hertz Tingly Foods,50Hertz Tingly Foods,1,1,0,2026-09-15T07:12:48.575Z,2026-09-15T07:12:48.575Z,Food and beverage
Amity University Online,Amity University Online,1,1,0,2026-09-11T22:12:48.437Z,2026-09-11T22:12:48.437Z,Online degrees
Be Neude,Be Neude,1,1,0,2026-09-21T10:46:07.991Z,2026-09-21T10:46:07.991Z,Beauty and personal care
Bluehost,Bluehost,1,1,0,2026-09-11T20:31:20.035Z,2026-09-11T20:31:20.035Z,Web hosting
Botanical Beauty Cosmetics Pvt Ltd,Botanical Beauty Cosmetics Pvt Ltd,1,1,1,2026-09-22T20:49:01.124Z,2026-09-22T20:49:01.124Z,Citrus perfume
Build A Gym,Build A Gym,1,1,0,2026-09-22T09:48:04.503Z,2026-09-22T09:48:04.503Z,Commercial discovery
Carmine,Carmine,1,1,0,2026-09-15T10:46:07.604Z,2026-09-15T10:46:07.604Z,Commercial discovery
Cilicant,Cilicant,1,1,0,2026-09-12T05:53:42.560Z,2026-09-12T05:53:42.560Z,Industrial supplies
Cloud Wellness Private Limited,Cloud Wellness Private Limited,1,1,0,2026-09-21T20:38:07.710Z,2026-09-21T20:38:07.710Z,Beauty and personal care
CNBYG,CNBYG,1,1,0,2026-09-15T14:10:57.260Z,2026-09-15T14:10:57.260Z,Commercial discovery
Coffee-Sensor.com,Coffee-Sensor.com,1,1,0,2026-09-22T09:52:15.391Z,2026-09-22T09:52:15.391Z,Commercial discovery
ControlCase,ControlCase,1,1,0,2026-09-11T22:40:43.442Z,2026-09-11T22:40:43.442Z,PCI DSS compliance
COWBERRY Industries Pvt Ltd,COWBERRY Industries Pvt Ltd,1,1,1,2026-09-23T00:33:59.033Z,2026-09-23T00:33:59.033Z,Tea subscriptions
Crystal Blockchain B.V.,Crystal Blockchain B.V.,1,1,0,2026-09-12T05:38:49Z,2026-09-12T05:38:49Z,Cybersecurity & compliance
Didva,Didva,1,1,0,2026-09-12T12:25:20.991Z,2026-09-12T12:25:20.991Z,Payments
Evelta Electronics Private Limited,Evelta Electronics Private Limited,1,1,0,2026-09-19T09:08:03.392Z,2026-09-19T09:08:03.392Z,Commercial discovery
Flippr,Flippr,1,1,0,2026-09-11T20:33:16.023Z,2026-09-11T20:33:16.023Z,Reselling tools
GASPOL,GASPOL,1,1,0,2026-09-15T10:36:32.822Z,2026-09-15T10:36:32.822Z,Commercial discovery
GLOWBARESKIN LUXE PRIVATE LIMITED,GLOWBARESKIN LUXE PRIVATE LIMITED,1,1,0,2026-09-11T21:20:29.995Z,2026-09-11T21:20:29.995Z,Skincare
Hasan Oud,Hasan Oud,1,1,0,2026-09-22T01:01:23.226Z,2026-09-22T01:01:23.226Z,Beauty and personal care
Hero MotoCorp,Hero MotoCorp,1,1,1,2026-09-22T22:38:33.929Z,2026-09-22T22:38:33.929Z,Intercity buses
Himalaya Neem Facewash,Himalaya Neem Facewash,1,1,0,2026-09-22T05:58:28.814Z,2026-09-22T05:58:28.814Z,Beauty and personal care
Housiey,Housiey,1,1,1,2026-09-23T08:59:33.447Z,2026-09-23T08:59:33.447Z,Property management
HTS,HTS,1,1,0,2026-09-12T05:06:20Z,2026-09-12T05:06:20Z,Custom software development
HyugaLife: India's Health & Supplement Store,HyugaLife: India's Health & Supplement Store,1,1,0,2026-09-11T21:20:29.355Z,2026-09-11T21:20:29.355Z,Nutritional supplements
Label Madhuri Thakkar,Label Madhuri Thakkar,1,1,1,2026-09-23T03:57:22.032Z,2026-09-23T03:57:22.032Z,Ethnic occasionwear
Leeford Ortho,Leeford Ortho,1,1,0,2026-09-11T21:26:06.560Z,2026-09-11T21:26:06.560Z,Sleep support
Lyft,Lyft,1,1,1,2026-09-23T00:09:22.046Z,2026-09-23T00:09:22.046Z,Corporate travel
Masters India IT Solutions Private Limited,Masters India IT Solutions Private Limited,1,1,1,2026-09-22T23:55:03.302Z,2026-09-22T23:55:03.302Z,Corporate travel
Merlin AI,Merlin AI,1,1,0,2026-09-15T05:53:54.299Z,2026-09-15T05:53:54.299Z,Home improvement
MoveinSync,MoveinSync,1,1,1,2026-09-23T00:38:50.075Z,2026-09-23T00:38:50.075Z,Corporate travel
Naisargeek,Naisargeek,1,1,0,2026-09-21T02:32:36.162Z,2026-09-21T02:32:36.162Z,Beauty and personal care
NEXXUS,NEXXUS,1,1,0,2026-09-22T12:16:18.340Z,2026-09-22T12:16:18.340Z,Beauty and personal care
Nutrabox,Nutrabox,1,1,0,2026-09-15T07:11:52.122Z,2026-09-15T07:11:52.122Z,Food and beverage
Online Manipal,Online Manipal,1,1,0,2026-09-11T20:44:36.731Z,2026-09-11T20:44:36.731Z,Online degrees
Orchestra Ads,Orchestra Ads,1,1,0,2026-09-12T05:43:12Z,2026-09-12T05:43:12Z,Software & IT
Palmonas,Palmonas,1,1,1,2026-09-23T02:13:21.598Z,2026-09-23T02:13:21.598Z,Luxury perfume gifts
PeekHire,PeekHire,1,1,0,2026-09-15T14:04:14.728Z,2026-09-15T14:04:14.728Z,Commercial discovery
PK Grills,PK Grills,1,1,0,2026-09-12T09:34:56.781Z,2026-09-12T09:34:56.781Z,Industrial supplies
Plámenna Boutique®,Plámenna Boutique®,1,1,0,2026-09-21T04:39:30.591Z,2026-09-21T04:39:30.591Z,Beauty and personal care
PPCmate,PPCmate,1,1,0,2026-09-15T14:29:16.471Z,2026-09-15T14:29:16.471Z,Commercial discovery
PureFlowTape,PureFlowTape,1,1,0,2026-09-21T21:11:04.341Z,2026-09-21T21:11:04.341Z,Travel and leisure
QVAND,QVAND,1,1,0,2026-09-22T13:41:58.438Z,2026-09-22T13:41:58.438Z,Commercial discovery
Rootle Voconv Private Limited,Rootle Voconv Private Limited,1,1,0,2026-09-15T09:49:57.653Z,2026-09-15T09:49:57.653Z,Business services
Sadhev,Sadhev,1,1,1,2026-09-22T20:32:03.641Z,2026-09-22T20:32:03.641Z,Sensitive-skin fragrance
"SerpApi, LLC","SerpApi, LLC",1,1,0,2026-09-11T22:41:25.735Z,2026-09-11T22:41:25.735Z,Search API
Shiprocket,Shiprocket,1,1,1,2026-09-23T01:50:06.797Z,2026-09-23T01:50:06.797Z,Payment gateways
Shubh Gems,Shubh Gems,1,1,0,2026-09-14T11:54:21.522Z,2026-09-14T11:54:21.522Z,Fashion and accessories
Sonetel AB,Sonetel AB,1,1,1,2026-09-22T22:01:48.065Z,2026-09-22T22:01:48.065Z,Corporate travel
Sony LIV,Sony LIV,1,1,1,2026-09-23T00:16:16.816Z,2026-09-23T00:16:16.816Z,Wi-Fi routers
Soultheory,Soultheory,1,1,0,2026-09-14T11:20:43.164Z,2026-09-14T11:20:43.164Z,Fashion and accessories
Take App (MX),Take App (MX),1,1,1,2026-09-23T01:40:11.550Z,2026-09-23T01:40:11.550Z,Payment gateways
Tally Solutions Private Limited,Tally Solutions Private Limited,1,1,0,2026-09-15T10:34:55.516Z,2026-09-15T10:34:55.516Z,Commercial discovery
THOPPIA,THOPPIA,1,1,0,2026-09-15T06:32:52.368Z,2026-09-15T06:32:52.368Z,Home textiles
Travelsetu.com,Travelsetu.com,1,1,0,2026-09-21T03:04:26.503Z,2026-09-21T03:04:26.503Z,Travel and leisure
Trijog - Know Your Mind,Trijog - Know Your Mind,1,1,0,2026-09-22T18:37:45.763Z,2026-09-22T18:37:45.763Z,Commercial discovery
UB Media LLC,UB Media LLC,1,1,0,2026-09-11T21:22:51.127Z,2026-09-11T21:22:51.127Z,Phone unlocking
Vetlyf,Vetlyf,1,1,0,2026-09-11T21:12:10.264Z,2026-09-11T21:12:10.264Z,Veterinary services
Vinchin,Vinchin,1,1,0,2026-09-11T21:20:28.796Z,2026-09-11T21:20:28.796Z,Backup & recovery
Vol-Retarde.fr,Vol-Retarde.fr,1,1,0,2026-09-20T17:27:24.634Z,2026-09-20T17:27:24.634Z,Travel and leisure
Wakefit,Wakefit,1,1,0,2026-09-22T09:58:01.795Z,2026-09-22T09:58:01.795Z,Commercial discovery
Waterways leisure Limited,Waterways leisure Limited,1,1,1,2026-09-22T21:01:46.250Z,2026-09-22T21:01:46.250Z,Vacation rentals
Xportel,Xportel,1,1,0,2026-09-15T10:32:56.704Z,2026-09-15T10:32:56.704Z,Commercial discovery
Zenni Optical,Zenni Optical,1,1,0,2026-09-12T07:53:04.620Z,2026-09-12T07:53:04.620Z,Industrial supplies
Zestpics,Zestpics,1,1,1,2026-09-22T22:11:20.567Z,2026-09-22T22:11:20.567Z,Luxury perfume gifts
Zivore Apparel Private Limited,Zivore Apparel Private Limited,1,1,0,2026-09-14T11:57:45.373Z,2026-09-14T11:57:45.373Z,Fashion and accessories
