category,industry,turns,ad_turns,ad_rate,ad_rate_low,ad_rate_high,advertisers,creatives,competition_score,evidence_strength
Drip irrigation,Agriculture,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Electric scooters,Automotive,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Farm tools,Agriculture,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Handbags,Fashion and accessories,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Home inspection,Real estate services,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Pest control,Home improvement,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Podcast equipment,Creative services,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Printers,Electronics,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Printing services,Creative services,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Tablets,Electronics,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Trademark support,Business services,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Water pumps,Industrial supplies,3,0,0.0,0,0.5615060804490177,0,0,0.14285714285714285,exploratory
Airport lounge access,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Airport transfers,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Attar and alcohol-free fragrance,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Attendance systems,Business services,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Badminton equipment,Sports and fitness,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Car fragrance,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Car tyres,Automotive,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Coffee beans,Food and beverage,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Cold-chain delivery,Logistics,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Company incorporation,Business services,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Courier aggregation,Logistics,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Cruise holidays,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
EV charging,Automotive,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Family hotels,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Fragrances,Fashion and accessories,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Greenhouse supplies,Agriculture,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Gym memberships,Sports and fitness,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Healthy snacks,Food and beverage,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Holiday packages,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Home exercise equipment,Sports and fitness,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Home fragrance,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
International eSIM,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
International flights,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
International holiday packages,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
International shipping,Logistics,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Jewellery,Fashion and accessories,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Label printers,Industrial supplies,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Luxury resorts,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Men's perfume,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Modular kitchens,Home improvement,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Monitors,Electronics,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Niche perfume,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Office catering,Food and beverage,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Oud fragrance,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Packaging materials,Industrial supplies,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Perfume discovery sets,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Power tools,Industrial supplies,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Premium deodorant,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Product photography,Creative services,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Smartphones,Electronics,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Soil testing,Agriculture,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Solid perfume,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Sports venue booking,Sports and fitness,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Subscription billing,Payments,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Train booking,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Translation services,Business services,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Travel backpacks,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Travel forex cards,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Travel insurance,Travel and leisure,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Vanilla perfume,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Vehicle servicing,Automotive,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Warehouse fulfilment,Logistics,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Water purifiers,Home improvement,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Wedding perfume,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Women's perfume,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Woody perfume,Beauty and personal care,4,0,0.0,0,0.48990002040399916,0,0,0.125,exploratory
Hostels,Travel and leisure,6,0,0.0,0,0.3903430336530645,0,0,0.1,exploratory
Car rentals,Travel and leisure,7,0,0.0,0,0.35433884297520657,0,0,0.09090909090909091,exploratory
Inverters,Home improvement,7,0,0.0,0,0.35433884297520657,0,0,0.09090909090909091,exploratory
Perfume gift sets,Beauty and personal care,7,0,0.0,0,0.35433884297520657,0,0,0.09090909090909091,exploratory
Safety equipment,Industrial supplies,7,0,0.0,0,0.35433884297520657,0,0,0.09090909090909091,exploratory
Unisex fragrance,Beauty and personal care,7,0,0.0,0,0.35433884297520657,0,0,0.09090909090909091,exploratory
Weekend getaways,Travel and leisure,7,0,0.0,0,0.35433884297520657,0,0,0.09090909090909091,exploratory
Pilgrimage travel,Travel and leisure,8,0,0.0,0,0.3244156195108769,0,0,0.08333333333333333,directional
Scented candles,Beauty and personal care,8,0,0.0,0,0.3244156195108769,0,0,0.08333333333333333,directional
Summer fragrance,Beauty and personal care,8,0,0.0,0,0.3244156195108769,0,0,0.08333333333333333,directional
